Second,Kamera,Lidar,Odometry,Sonstige,Kamera Data Size,Lidar Data Size,Odometry Data Size,Sonstige Data Size
2170,0,24,81,0,0,1447372,32517,0
2180,2,24,83,0,6912419,448532,33193,0
2190,2,23,75,2,6912415,473179,30846,236
2200,0,26,79,0,0,7763881,32029,0
2210,0,22,79,0,0,398922,32010,0
2220,1,25,81,0,361,473369,32473,0
2230,3,25,77,0,13824473,473561,31566,0
2240,0,21,79,0,0,423441,32029,0
2250,0,17,79,1,0,348474,32010,117
2260,0,36,79,3,0,14180636,32029,355
2270,0,28,79,0,0,1497492,32010,0
2280,2,20,104,0,6912419,398540,47371,0
2290,2,24,57,0,6912415,448532,17472,0
2300,0,28,95,2,0,7813683,44715,236
2310,0,21,60,0,0,423441,18520,0
2320,1,22,100,0,361,374145,46199,0
2330,3,22,58,0,13824473,448150,17840,0
2340,0,27,98,0,0,523299,45519,0
2350,0,22,61,2,0,398922,19973,232
2360,0,25,100,2,0,14005815,44870,240
2370,0,29,76,0,0,1522393,31225,0
2380,2,21,82,0,6912419,423377,32814,0
2390,2,22,76,0,6912415,398922,31225,0
2400,0,29,79,2,0,7789036,32010,236
2410,0,24,81,0,0,498080,32709,0
2420,2,23,79,0,6912417,423759,31774,0
2430,2,19,77,0,6912417,373639,31585,0
2440,0,27,79,0,0,523235,32010,0
2450,0,23,79,2,0,423759,32029,232
2460,0,26,79,2,0,7763876,32010,240
2470,0,28,97,0,0,7714786,44809,0
2480,2,29,61,0,6912419,548198,19230,0
2490,2,22,98,0,6912415,448278,45519,0
2500,0,26,60,2,0,7714525,18520,236
2510,0,28,99,0,0,523235,45680,0
2520,2,24,62,0,6912417,448596,18964,0
2530,2,22,96,0,6912417,398922,45075,0
2540,0,24,81,0,0,448532,32122,0
2550,0,22,77,4,0,448342,31917,1610
2560,0,27,72,2,0,14055553,29466,240
2570,0,26,85,0,0,1447754,33863,0
2580,2,27,82,0,6912419,523235,32833,0
2590,2,22,80,0,6912415,423430,32028,0
2600,0,27,74,2,0,7764210,30497,236
2610,0,23,81,0,0,374403,32516,0
2620,2,27,103,0,6912417,523235,47051,0
2630,2,22,58,0,6912417,448278,17792,0
2640,0,20,95,0,0,373765,44715,0
2650,0,23,60,2,0,374403,18520,232
2660,0,35,104,2,0,14205149,47197,240
2670,0,24,56,0,0,1398080,17348,0
2680,2,19,100,0,6912419,373639,45612,0
2690,2,26,74,1,6912415,522906,29803,119
2700,0,31,81,1,0,7789555,32454,117
2710,0,20,77,0,0,398540,31585,0
2720,1,24,82,0,361,448532,32464,0
2730,3,23,75,0,13824473,473179,30865,0
2740,0,22,79,0,0,448278,32010,0
2750,0,19,80,2,0,373639,32349,232
2760,0,35,82,2,0,14155670,32862,240
2770,1,26,75,0,362,1497046,30857,0
2780,1,24,80,0,6912057,399181,32330,0
2790,2,24,98,0,6912415,448532,44933,0
2800,0,26,63,2,0,6765237,19950,236
2810,0,27,94,0,0,1472587,44355,0
2820,1,20,64,0,361,398540,19692,0
2830,3,22,97,0,13824473,448150,45151,0
2840,0,27,57,0,0,523299,17716,0
2850,0,20,101,2,0,398540,46323,232
2860,0,29,75,2,0,14055871,30514,240
2870,1,27,81,0,362,1522011,33041,0
2880,1,23,78,0,6912057,423759,31709,0
2890,2,22,79,0,6912415,398922,32010,0
2900,0,27,82,2,0,7788654,32833,236
2910,0,27,76,0,0,523299,31206,0
2920,2,21,80,0,6912417,374085,32349,0
2930,2,21,78,0,6912417,374021,31690,0
2940,0,28,79,0,0,548072,32029,0
2950,0,20,82,2,0,398540,32814,232
2960,0,27,77,2,0,13007493,31545,240
2970,0,32,80,0,0,2546188,32134,0
2980,2,23,100,0,6912419,423951,46247,0
2990,2,23,57,2,6912415,423759,17668,236
3000,0,26,101,0,0,7714525,46371,0
3010,0,27,56,0,0,523235,17348,0
3020,2,22,101,0,6912417,448214,46323,0
3030,2,24,60,0,6912417,399177,18520,0
3040,0,19,95,0,0,373639,44715,0
3050,0,27,82,2,0,523235,32490,232
3060,0,31,78,2,0,14105673,31993,240
3070,0,23,77,0,0,1422471,31585,0
3080,2,27,83,0,6912419,523235,33182,0
3090,2,22,78,0,6912415,423430,31661,0
3100,0,30,76,2,0,7764518,31206,236
3110,0,22,81,0,0,374350,32535,0
3120,2,26,82,0,6912417,547690,32814,0
3130,2,22,76,0,6912417,448278,31225,0
3140,0,21,79,0,0,374021,32010,0
3150,0,21,79,2,0,374021,32029,232
3160,0,35,82,2,0,14205149,32814,240
