Timestamp,Total CPU Load,Total Used Memory,Core CPU,Core Memory,Ameise CPU,Ameise Memory,Radar CPU,Radar Memory
1737224434.5449545,85.9,571.96,60.9,479.21,22.0,58.46,3.0,34.29
1737224436.559171,93.8,577.04,68.9,484.1,21.9,58.65,3.0,34.29
1737224438.5696805,93.9,572.12,68.9,479.28,23.0,58.55,2.0,34.29
1737224440.5890706,93.9,572.44,66.9,479.53,24.0,58.62,3.0,34.29
1737224442.59936,96.8,578.42,68.9,479.53,24.9,64.6,3.0,34.29
1737224444.627828,78.0,581.13,57.0,482.36,18.0,64.55,3.0,34.22
1737224446.638685,92.8,577.89,66.8,479.66,23.0,64.01,3.0,34.22
1737224448.6500058,92.9,591.55,68.9,485.58,21.0,71.75,3.0,34.22
1737224450.6733968,97.9,572.47,73.9,479.66,23.0,58.59,1.0,34.22
1737224452.690493,82.0,583.76,60.0,484.3,19.0,65.24,3.0,34.22
1737224454.704806,93.9,578.52,68.9,479.72,23.0,64.58,2.0,34.22
1737224456.725204,89.9,584.43,66.9,485.13,21.0,65.08,2.0,34.22
1737224458.741625,94.9,572.47,70.9,479.72,22.0,58.53,2.0,34.22
1737224460.750078,89.9,577.9,65.9,479.72,23.0,63.96,1.0,34.22
1737224462.7588465,93.8,572.42,64.8,479.72,24.0,58.48,5.0,34.22
1737224464.7704344,90.0,580.95,66.0,481.52,21.0,65.21,3.0,34.22
1737224466.7801442,95.8,578.56,69.8,479.72,23.0,64.62,3.0,34.22
1737224468.7940419,92.0,578.42,68.0,479.72,21.0,64.48,3.0,34.22
1737224470.8084538,90.9,572.38,65.9,479.72,23.0,58.44,2.0,34.22
1737224472.820626,94.9,572.07,67.9,479.97,24.0,57.88,3.0,34.22
1737224474.8327937,94.9,578.74,70.9,480.03,20.0,64.49,4.0,34.22
1737224476.8438578,79.9,573.23,58.9,480.28,19.0,58.54,2.0,34.41
1737224478.8583531,94.9,584.43,68.9,484.93,24.0,65.09,2.0,34.41
1737224480.8807404,87.0,578.96,63.0,480.03,21.0,64.52,3.0,34.41
1737224482.9007504,98.9,573.04,72.9,480.03,24.0,58.6,2.0,34.41
1737224484.9194982,91.7,579.27,65.8,480.35,23.9,64.51,2.0,34.41
1737224486.945324,84.9,578.07,61.9,484.99,21.0,58.67,2.0,34.41
1737224488.9567282,82.8,573.23,58.9,480.16,20.9,58.66,3.0,34.41
1737224490.9678338,94.9,572.65,70.9,480.16,22.0,58.08,2.0,34.41
1737224492.9812896,88.9,580.46,64.9,480.93,21.0,65.12,3.0,34.41
1737224495.0013456,90.8,582.13,65.9,482.48,22.9,65.24,2.0,34.41
1737224497.0103796,89.9,573.32,65.9,480.42,21.0,58.49,3.0,34.41
1737224499.0213401,94.9,573.6,70.9,480.68,21.0,58.51,3.0,34.41
1737224501.0316305,94.9,577.64,69.9,484.8,23.0,58.43,2.0,34.41
1737224503.0427167,93.0,573.09,67.0,480.68,23.0,58.0,3.0,34.41
1737224505.0541785,92.0,573.06,66.0,480.68,25.0,57.97,1.0,34.41
1737224507.0747404,94.5,572.78,68.7,481.0,22.8,58.46,3.0,33.32
1737224509.087281,84.9,572.92,59.9,481.0,23.0,58.6,2.0,33.32
1737224511.0999384,94.8,579.34,68.8,487.44,25.0,58.58,1.0,33.32
1737224513.1111896,87.9,579.19,63.9,487.44,22.0,58.43,2.0,33.32
